Bandwidth,MOS,Percentile,Hosts,Delay,Algorithms,Competition,Resolutions
15,1.6,30,1,50,conv,15,3
15,1.69,40,1,50,conv,15,3
15,1.76,50,1,50,conv,15,4
15,1.83,60,1,50,conv,15,4
15,1.92,70,1,50,conv,15,4
15,1.95,80,1,50,conv,15,4
15,2.1,90,1,50,conv,15,4
15,2.05,10,1,10,arbiter,10,4
15,2.09,20,1,10,arbiter,10,4
15,2.25,30,1,10,arbiter,10,4
15,2.36,40,1,10,arbiter,10,5
15,2.56,50,1,10,arbiter,10,5
15,2.69,60,1,10,arbiter,10,5
15,2.82,70,1,10,arbiter,10,6
15,2.89,80,1,10,arbiter,10,6
15,2.97,90,1,10,arbiter,10,6
15,1.33,10,1,100,conv,15,1
15,1.38,20,1,100,conv,15,2
15,1.41,30,1,100,conv,15,2
15,1.43,40,1,100,conv,15,2
15,1.47,50,1,100,conv,15,2
15,1.58,60,1,100,conv,15,3
15,1.64,70,1,100,conv,15,3
15,1.88,80,1,100,conv,15,3
15,1.89,90,1,100,conv,15,3
15,1.37,10,1,100,conv,10,2
15,1.42,20,1,100,conv,10,2
15,1.46,30,1,100,conv,10,2
15,1.51,40,1,100,conv,10,3
15,1.58,50,1,100,conv,10,3
15,1.66,60,1,100,conv,10,3
15,1.81,70,1,100,conv,10,3
15,1.87,80,1,100,conv,10,3
15,1.95,90,1,100,conv,10,3
15,1.57,10,1,100,conv,5,2
15,1.69,20,1,100,conv,5,2
15,1.79,30,1,100,conv,5,2
15,1.88,40,1,100,conv,5,3
15,1.95,50,1,100,conv,5,3
15,1.98,60,1,100,conv,5,3
15,2.07,70,1,100,conv,5,3
15,2.12,80,1,100,conv,5,3
15,2.17,90,1,100,conv,5,3
5,1.35,10,1,10,conv,10,1
5,1.38,20,1,10,conv,10,1
5,1.41,30,1,10,conv,10,1
5,1.43,40,1,10,conv,10,1
5,1.49,50,1,10,conv,10,1
5,1.6,60,1,10,conv,10,2
5,1.66,70,1,10,conv,10,3
5,1.75,80,1,10,conv,10,3
5,1.88,90,1,10,conv,10,3
5,1.23,10,1,50,conv,15,1
5,1.24,20,1,50,conv,15,1
5,1.26,30,1,50,conv,15,1
5,1.28,40,1,50,conv,15,1
5,1.31,50,1,50,conv,15,1
5,1.35,60,1,50,conv,15,1
5,1.43,70,1,50,conv,15,1
5,1.45,80,1,50,conv,15,1
5,1.66,90,1,50,conv,15,1
5,1.24,10,1,10,conv,15,1
5,1.25,20,1,10,conv,15,1
5,1.27,30,1,10,conv,15,1
5,1.3,40,1,10,conv,15,2
5,1.35,50,1,10,conv,15,2
5,1.42,60,1,10,conv,15,2
5,1.48,70,1,10,conv,15,2
5,1.56,80,1,10,conv,15,2
5,1.82,90,1,10,conv,15,2
5,1.37,10,1,10,arbiter,10,1
5,1.45,20,1,10,arbiter,10,1
5,1.54,30,1,10,arbiter,10,1
5,1.66,40,1,10,arbiter,10,1
5,1.69,50,1,10,arbiter,10,1
5,1.7,60,1,10,arbiter,10,2
5,1.74,70,1,10,arbiter,10,2
5,1.88,80,1,10,arbiter,10,2
5,1.88,90,1,10,arbiter,10,2
5,1.29,10,1,50,conv,10,1
5,1.35,20,1,50,conv,10,1
5,1.4,30,1,50,conv,10,1
5,1.46,40,1,50,conv,10,1
5,1.54,50,1,50,conv,10,1
5,1.66,60,1,50,conv,10,1
5,1.79,70,1,50,conv,10,1
5,1.84,80,1,50,conv,10,2
5,1.88,90,1,50,conv,10,2
5,1.32,10,1,100,conv,5,1
5,1.35,20,1,100,conv,5,1
5,1.4,30,1,100,conv,5,1
5,1.44,40,1,100,conv,5,1
5,1.52,50,1,100,conv,5,1
5,1.63,60,1,100,conv,5,1
5,1.73,70,1,100,conv,5,1
5,1.88,80,1,100,conv,5,1
5,1.88,90,1,100,conv,5,1
5,1.24,10,1,100,arbiter,15,1
5,1.25,20,1,100,arbiter,15,1
5,1.27,30,1,100,arbiter,15,1
5,1.3,40,1,100,arbiter,15,1
5,1.32,50,1,100,arbiter,15,1
5,1.39,60,1,100,arbiter,15,1
5,1.44,70,1,100,arbiter,15,1
5,1.51,80,1,100,arbiter,15,1
5,1.83,90,1,100,arbiter,15,1
5,1.46,10,1,100,arbiter,5,1
5,1.52,20,1,100,arbiter,5,1
